Frequency,ExpectedPeak2Peak,RealPeak2Peak,RealGain
181000.0 ,60.00            ,45.00        ,15.00000
182000.0 ,60.00            ,44.00        ,14.66667
183000.0 ,60.00            ,44.00        ,14.66667
184000.0 ,60.00            ,44.00        ,14.66667
185000.0 ,60.00            ,44.00        ,14.66667
186000.0 ,60.00            ,44.00        ,14.66667
187000.0 ,60.00            ,44.00        ,14.66667
188000.0 ,60.00            ,44.00        ,14.66667
189000.0 ,60.00            ,42.00        ,14.00000
190000.0 ,60.00            ,42.00        ,14.00000
191000.0 ,60.00            ,42.00        ,14.00000
192000.0 ,60.00            ,42.00        ,14.00000
193000.0 ,60.00            ,42.00        ,14.00000
194000.0 ,60.00            ,42.00        ,14.00000
195000.0 ,60.00            ,42.00        ,14.00000
196000.0 ,60.00            ,42.00        ,14.00000
197000.0 ,60.00            ,41.00        ,13.66667
198000.0 ,60.00            ,41.00        ,13.66667
199000.0 ,60.00            ,41.00        ,13.66667
200000.0 ,60.00            ,41.00        ,13.66667
201000.0 ,60.00            ,41.00        ,13.66667
202000.0 ,60.00            ,41.00        ,13.66667
203000.0 ,60.00            ,41.00        ,13.66667
204000.0 ,60.00            ,41.00        ,13.66667
205000.0 ,60.00            ,41.00        ,13.66667
206000.0 ,60.00            ,41.00        ,13.66667
207000.0 ,60.00            ,40.00        ,13.33333
208000.0 ,60.00            ,40.00        ,13.33333
209000.0 ,60.00            ,40.00        ,13.33333
210000.0 ,60.00            ,40.00        ,13.33333
211000.0 ,60.00            ,40.00        ,13.33333
212000.0 ,60.00            ,40.00        ,13.33333
213000.0 ,60.00            ,40.00        ,13.33333
214000.0 ,60.00            ,40.00        ,13.33333
215000.0 ,60.00            ,40.00        ,13.33333
216000.0 ,60.00            ,40.00        ,13.33333
217000.0 ,60.00            ,39.00        ,13.00000
218000.0 ,60.00            ,39.00        ,13.00000
219000.0 ,60.00            ,39.00        ,13.00000
220000.0 ,60.00            ,39.00        ,13.00000
221000.0 ,60.00            ,39.00        ,13.00000
222000.0 ,60.00            ,39.00        ,13.00000
223000.0 ,60.00            ,38.00        ,12.66667
224000.0 ,60.00            ,38.00        ,12.66667
225000.0 ,60.00            ,38.00        ,12.66667
226000.0 ,60.00            ,38.00        ,12.66667
227000.0 ,60.00            ,38.00        ,12.66667
228000.0 ,60.00            ,38.00        ,12.66667
229000.0 ,60.00            ,38.00        ,12.66667
230000.0 ,60.00            ,38.00        ,12.66667
231000.0 ,60.00            ,38.00        ,12.66667
232000.0 ,60.00            ,37.00        ,12.33333
233000.0 ,60.00            ,37.00        ,12.33333
234000.0 ,60.00            ,37.00        ,12.33333
235000.0 ,60.00            ,37.00        ,12.33333
236000.0 ,60.00            ,37.00        ,12.33333
237000.0 ,60.00            ,37.00        ,12.33333
238000.0 ,60.00            ,37.00        ,12.33333
239000.0 ,60.00            ,37.00        ,12.33333
240000.0 ,60.00            ,37.00        ,12.33333
241000.0 ,60.00            ,37.00        ,12.33333
242000.0 ,60.00            ,37.00        ,12.33333
243000.0 ,60.00            ,36.00        ,12.00000
244000.0 ,60.00            ,36.00        ,12.00000
245000.0 ,60.00            ,36.00        ,12.00000
246000.0 ,60.00            ,36.00        ,12.00000
247000.0 ,60.00            ,36.00        ,12.00000
248000.0 ,60.00            ,36.00        ,12.00000
249000.0 ,60.00            ,36.00        ,12.00000
250000.0 ,60.00            ,36.00        ,12.00000
251000.0 ,60.00            ,36.00        ,12.00000
252000.0 ,60.00            ,35.00        ,11.66667
253000.0 ,60.00            ,35.00        ,11.66667
254000.0 ,60.00            ,35.00        ,11.66667
255000.0 ,60.00            ,35.00        ,11.66667
256000.0 ,60.00            ,35.00        ,11.66667
257000.0 ,60.00            ,35.00        ,11.66667
258000.0 ,60.00            ,35.00        ,11.66667
259000.0 ,60.00            ,35.00        ,11.66667
260000.0 ,60.00            ,35.00        ,11.66667
261000.0 ,60.00            ,35.00        ,11.66667
262000.0 ,60.00            ,35.00        ,11.66667
263000.0 ,60.00            ,35.00        ,11.66667
264000.0 ,60.00            ,35.00        ,11.66667
265000.0 ,60.00            ,35.00        ,11.66667
266000.0 ,60.00            ,34.00        ,11.33333
267000.0 ,60.00            ,34.00        ,11.33333
268000.0 ,60.00            ,34.00        ,11.33333
269000.0 ,60.00            ,34.00        ,11.33333
270000.0 ,60.00            ,34.00        ,11.33333
271000.0 ,60.00            ,34.00        ,11.33333
272000.0 ,60.00            ,34.00        ,11.33333
273000.0 ,60.00            ,34.00        ,11.33333
274000.0 ,60.00            ,34.00        ,11.33333
275000.0 ,60.00            ,33.00        ,11.00000
276000.0 ,60.00            ,33.00        ,11.00000
